TransactionID,UserID,TransactionAmount,TransactionType,MerchantCategory,DeviceType,GeoLocation,Timestamp,IsForeignTransaction,IsHighRiskCountry,PreviousFraudCount,AccountAgeMonths,NumRecentTransactions,AvgTransactionAmount,Label
a5415356-579d-49d1-a6a5-988e05cec1b3,dacd53e0-c015-4c5b-8603-4b5f4f42109f,1875.83,Withdrawal,Grocery,Mobile,"-68.6164, 17.4802",2025-07-13 11:19:34,0,0,0,132,25,2197.8,1
b4710055-aa61-4462-b762-87391742e457,e66d1f73-0650-4d5e-897c-e06c9dc5896a,4753.82,Purchase,Restaurants,Web,"9.7781, 75.4938",2025-03-30 22:02:59,0,0,0,77,1,2130.45,0
adf29176-12fd-41a7-9a48-e16ad713385e,17bd1291-4463-47b4-8418-0f63e3afe5d7,3661.31,Purchase,Electronics,POS Terminal,"-61.7425, 139.1452",2025-05-06 16:19:57,0,1,0,89,25,609.02,0
cbcec6d9-a7de-4a14-adf0-43e5725e59a4,c2f9baaf-a2bb-4642-8efa-faee70d3a172,2995.3,Transfer,Restaurants,Mobile,"46.3185, 72.4329",2025-05-01 09:47:32,0,0,0,205,1,640.91,0
4cb6509b-0161-4ab6-876d-f4ad2ba9d8fd,2295df6f-7a5b-4b96-b5bc-987a4594256e,784.31,Withdrawal,Restaurants,POS Terminal,"-44.3727, -132.7336",2025-04-11 03:42:15,0,0,1,146,32,2068.0,0
9a10c4ef-eb7e-4c3b-84c2-a00ff2b59daf,0061a029-5bf0-4fac-ba1f-912942636559,784.19,Withdrawal,Grocery,POS Terminal,"76.3776, -26.9994",2025-01-11 15:44:36,0,0,1,88,42,666.97,0
5f79175a-bd70-4319-9093-55e66caa1fc3,4375ad18-7d0e-46a1-86d1-63e56ba8ed15,295.13,Withdrawal,Grocery,Web,"-19.1914, -57.3211",2025-06-13 13:11:38,0,1,0,194,42,1321.63,0
cb666172-f940-4fb3-b30c-c581cce0342e,22f0ef0a-b3f4-4ef6-8dc6-1d1092c271d4,4331.55,Transfer,Restaurants,Web,"-85.9165, 136.0414",2025-01-20 13:30:25,0,0,1,176,3,2348.19,0
1b7c29ea-17d8-4784-b4f8-522d679a9bec,3dbec4d8-324f-4ca2-b68d-eb886acc3303,3007.57,Purchase,Restaurants,Web,"13.1605, -172.4009",2025-03-02 15:01:23,0,1,0,33,49,2354.02,0
52f44bc8-b2a1-434b-87c3-d3975356a018,c4e8376e-d87f-4819-8740-113ea29113a5,3541.82,Transfer,Restaurants,Web,"-83.4150, 174.3559",2025-04-13 16:18:01,0,0,0,58,19,1365.25,0
3b2fa09a-5b04-496f-a877-40749fccc058,057e6e9e-7c92-49de-9dc5-2c1f7b14b3a8,107.82,Purchase,Grocery,Web,"-35.3433, -17.6561",2025-07-10 06:17:09,0,0,0,211,43,2378.65,0
